FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_CRIME,Tipo di delitto,SEX,Sesso,AGE,Età,CITIZENSHIP,Cittadinanza,TIME_PERIOD,Osservazione,NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_CRIME,Tipo di delitto (NOTE_TYPE_CRIME)
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2015,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2016,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2017,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2018,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2019,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2020,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2021,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2022,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2015,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2016,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2017,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2018,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2019,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2020,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2021,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2022,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2015,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2016,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2017,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2018,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2019,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
A,Annuale,IT,Italia,OFFEND,Numero di autori di delitto denunciati/arrestati dalle Forze di polizia,MASSMURD,Strage,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2020,0,TIPO_DATO35__OFFEND_N1,Per ogni singolo delitto la somma degli autori distinti per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,,
