motivo_non_denuncia,scippo,borseggio,furto_di_oggetti_personali,rapina,aggressione,minaccia
"Ha agito per conto suo, se l’è cavata da solo o con l'aiuto dei suoi familiari",17.3,13.0,4.0,12.0,20.2,11.8
"Era un fatto privato, non voleva che si sapesse",,,,,17.8,24.9
"Non era abbastanza importante, non era abbastanza grave",12.8,17.5,33.3,6.3,39.7,16.7
"Non c’erano prove, le forze dell'ordine non potevano far nulla",23.8,29.4,42.6,0.0,5.3,7.3
Non era assicurato ,3.8,0.0,2.3,0.0,0.0,0.0
Le forze dell'ordine comunque non avrebbero fatto niente,20.0,13.2,13.2,1.2,6.6,17.1
Le forze dell'ordine hanno sconsigliato di fare la denuncia,0.0,0.0,0.0,0.0,6.3,2.3
Non si voleva perdere tempo a fare la denuncia ,11.2,4.8,11.4,0.2,,1.5
Timore e paura di rappresaglie ,0.0,0.0,,0.6,4.0,4.6
Non si voleva essere coinvolti in situazioni di giustizia/Paura della polizia o delle altre autorità competenti,5.8,1.4,0.0,11.3,4.0,0.4
La precedente esperienza con la polizia e la giustizia è stata negativa,4.5,1.8,1.9,10.6,1.1,1.7
Non è stato rubato nulla/ le cose sono state ritrovate,22.3,33.5,6.5,60.2,,
Le minacce si sono interrotte,,,,,,6.9
Non ero sicuro fossero davvero delle minacce,,,,,,4.5
Le forze dell'ordine erano già presenti,,,,,6.5,
Altro,,,0.0,,5.7,8.4
