motivo_denuncia,scippo,borseggio,furto_di_oggetti_personali,rapina,aggressione,minaccia
Per rintracciare il ladro/responsabile,62.3,28.0,38.0,61.7,62.6,29.6
Per impedire al colpevole di farlo ancora,49.6,23.2,43.3,77.2,81.6,78.4
Per ritrovare gli oggetti rubati,53.5,41.8,42.6,39.0,,
Per il dovere di informare la polizia o le altre autorità competenti ,15.2,27.8,5.1,33.0,41.3,39.6
Per avere il risarcimento dall'assicurazione,5.1,2.7,21.5,22.0,6.6,
Le forze dell’ordine o le altre autorità competenti sono intervenute suo luogo del fatto/le forze dell’ordine ne erano già al corrente,0.0,0.0,0.0,0.0,20.0,2.5
"Perché dovevo denunciare la perdita dei documenti, assegni, bancomat",45.5,44.6,37.7,15.2,,
Per avere un maggiore controllo da parte delle forze dell'ordine,15.0,5.3,14.2,8.7,37.1,46.7
Perché il fatto era grave,5.5,3.5,0.0,37.0,22.4,50.2
Per bisogno di aiuto,5.8,1.0,6.7,8.0,36.9,35.6
Per bloccare scheda cellular,25.0,17.6,15.4,8.0,,
