FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_CRIME,Tipo di delitto,SEX,Sesso,AGE,Età,CITIZENSHIP,Cittadinanza,TIME_PERIOD,Osservazione,NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_CRIME,Tipo di delitto (NOTE_TYPE_CRIME)
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2015,3,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2016,6,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2017,7,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2018,5,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2019,7,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2020,5,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2021,9,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2022,4,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2023,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,ITL,Italiano-a,2024,6,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2015,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2016,4,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2017,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2018,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2019,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2020,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2021,2,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2022,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2023,0,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,FRG,Straniero-a,2024,1,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
A,Annuale,IT,Italia,VICTIM,Numero di vittime di delitto,INTENHOM,Omicidi volontari consumati,1,Maschi,Y_UN13,Fino a 13 anni,TOTAL,Totale,2015,4,TIPO_DATO35__VICTIM_N1,Per ogni singolo delitto la somma delle vittime distinte per le diverse caratteristiche demo sociali può non coincidere a causa di valori mancanti.,REATI_PS__INTENHOM_N1,Le voci di dettaglio sono solo una selezione delle più rilevanti
